,Image,StyleLoss,name,index
128,"00000-1-(low poly art style_1.3),dog,white background.png",2.268189877692126,AWPainting 1.1_v1.1.safetensors-Style-4,4
129,"00001-2-(low poly art style_1.3),dog,white background.png",0.8510157747322195,AWPainting 1.1_v1.1.safetensors-Style-4,4
130,"00002-3-(low poly art style_1.3),dog,white background.png",-0.07958386312762628,AWPainting 1.1_v1.1.safetensors-Style-4,4
131,"00003-4-(low poly art style_1.3),dog,white background.png",0.7897278103058205,AWPainting 1.1_v1.1.safetensors-Style-4,4
132,"00004-5-(low poly art style_1.3),dog,white background.png",0.1501797290455329,AWPainting 1.1_v1.1.safetensors-Style-4,4
133,"00005-6-(low poly art style_1.3),dog,white background.png",2.1159251981849603,AWPainting 1.1_v1.1.safetensors-Style-4,4
134,"00006-7-(low poly art style_1.3),dog,white background.png",5.188902451299942,AWPainting 1.1_v1.1.safetensors-Style-4,4
135,"00007-8-(low poly art style_1.3),dog,white background.png",1.4565376904083638,AWPainting 1.1_v1.1.safetensors-Style-4,4
136,"00008-9-(low poly art style_1.3),dog,white background.png",1.4138988963942014,AWPainting 1.1_v1.1.safetensors-Style-4,4
137,"00009-10-(low poly art style_1.3),dog,white background.png",0.9155364562233885,AWPainting 1.1_v1.1.safetensors-Style-4,4
138,"00010-11-(low poly art style_1.3),dog,white background.png",4.470752409556155,AWPainting 1.1_v1.1.safetensors-Style-4,4
139,"00011-12-(low poly art style_1.3),dog,white background.png",2.85449492917748,AWPainting 1.1_v1.1.safetensors-Style-4,4
140,"00012-13-(low poly art style_1.3),dog,white background.png",0.9903633701316099,AWPainting 1.1_v1.1.safetensors-Style-4,4
141,"00013-14-(low poly art style_1.3),dog,white background.png",1.8434589783911615,AWPainting 1.1_v1.1.safetensors-Style-4,4
142,"00014-15-(low poly art style_1.3),dog,white background.png",1.452811817631283,AWPainting 1.1_v1.1.safetensors-Style-4,4
143,"00015-16-(low poly art style_1.3),dog,white background.png",1.7817823711887766,AWPainting 1.1_v1.1.safetensors-Style-4,4
144,"00016-17-(low poly art style_1.3),dog,white background.png",2.883095494355528,AWPainting 1.1_v1.1.safetensors-Style-4,4
145,"00017-18-(low poly art style_1.3),dog,white background.png",1.794470414407312,AWPainting 1.1_v1.1.safetensors-Style-4,4
146,"00018-19-(low poly art style_1.3),dog,white background.png",2.982021441332845,AWPainting 1.1_v1.1.safetensors-Style-4,4
147,"00019-20-(low poly art style_1.3),dog,white background.png",1.5133896719051378,AWPainting 1.1_v1.1.safetensors-Style-4,4
148,"00020-21-(low poly art style_1.3),dog,white background.png",0.32005662835697346,AWPainting 1.1_v1.1.safetensors-Style-4,4
149,"00021-22-(low poly art style_1.3),dog,white background.png",1.1788946759265921,AWPainting 1.1_v1.1.safetensors-Style-4,4
150,"00022-23-(low poly art style_1.3),dog,white background.png",3.6863436442318576,AWPainting 1.1_v1.1.safetensors-Style-4,4
151,"00023-24-(low poly art style_1.3),dog,white background.png",2.209436058596742,AWPainting 1.1_v1.1.safetensors-Style-4,4
152,"00024-25-(low poly art style_1.3),dog,white background.png",3.8533445822355255,AWPainting 1.1_v1.1.safetensors-Style-4,4
153,"00025-26-(low poly art style_1.3),dog,white background.png",1.1332337395013554,AWPainting 1.1_v1.1.safetensors-Style-4,4
154,"00026-27-(low poly art style_1.3),dog,white background.png",1.578777599299625,AWPainting 1.1_v1.1.safetensors-Style-4,4
155,"00027-28-(low poly art style_1.3),dog,white background.png",1.373119872702712,AWPainting 1.1_v1.1.safetensors-Style-4,4
156,"00028-29-(low poly art style_1.3),dog,white background.png",0.06740714543716622,AWPainting 1.1_v1.1.safetensors-Style-4,4
157,"00029-30-(low poly art style_1.3),dog,white background.png",0.7964005487783105,AWPainting 1.1_v1.1.safetensors-Style-4,4
158,"00030-31-(low poly art style_1.3),dog,white background.png",1.6471944241732845,AWPainting 1.1_v1.1.safetensors-Style-4,4
159,"00031-32-(low poly art style_1.3),dog,white background.png",3.1924535952589412,AWPainting 1.1_v1.1.safetensors-Style-4,4
416,"00000-1-(low poly art style_1.3),dog,white background.png",-0.5878336202269154,dreamshaper_7.safetensors-Style-4,4
417,"00001-2-(low poly art style_1.3),dog,white background.png",-0.47056231411000166,dreamshaper_7.safetensors-Style-4,4
418,"00002-3-(low poly art style_1.3),dog,white background.png",-0.28132797490048383,dreamshaper_7.safetensors-Style-4,4
419,"00003-4-(low poly art style_1.3),dog,white background.png",-0.8330519206393666,dreamshaper_7.safetensors-Style-4,4
420,"00004-5-(low poly art style_1.3),dog,white background.png",-0.3441215749066349,dreamshaper_7.safetensors-Style-4,4
421,"00005-6-(low poly art style_1.3),dog,white background.png",-0.7396686261740879,dreamshaper_7.safetensors-Style-4,4
422,"00006-7-(low poly art style_1.3),dog,white background.png",-0.7481463259907877,dreamshaper_7.safetensors-Style-4,4
423,"00007-8-(low poly art style_1.3),dog,white background.png",-0.7760102149537227,dreamshaper_7.safetensors-Style-4,4
424,"00008-9-(low poly art style_1.3),dog,white background.png",-0.7393458721178915,dreamshaper_7.safetensors-Style-4,4
425,"00009-10-(low poly art style_1.3),dog,white background.png",-0.8512258952425712,dreamshaper_7.safetensors-Style-4,4
426,"00010-11-(low poly art style_1.3),dog,white background.png",-0.5831545501553377,dreamshaper_7.safetensors-Style-4,4
427,"00011-12-(low poly art style_1.3),dog,white background.png",-0.7417148488856716,dreamshaper_7.safetensors-Style-4,4
428,"00012-13-(low poly art style_1.3),dog,white background.png",0.1682156357753751,dreamshaper_7.safetensors-Style-4,4
429,"00013-14-(low poly art style_1.3),dog,white background.png",-0.7703426621856352,dreamshaper_7.safetensors-Style-4,4
430,"00014-15-(low poly art style_1.3),dog,white background.png",-0.8025545037463047,dreamshaper_7.safetensors-Style-4,4
431,"00015-16-(low poly art style_1.3),dog,white background.png",-0.867703382743258,dreamshaper_7.safetensors-Style-4,4
432,"00016-17-(low poly art style_1.3),dog,white background.png",-0.7008926052677352,dreamshaper_7.safetensors-Style-4,4
433,"00017-18-(low poly art style_1.3),dog,white background.png",-0.8553028647689823,dreamshaper_7.safetensors-Style-4,4
434,"00018-19-(low poly art style_1.3),dog,white background.png",-0.8430110325045805,dreamshaper_7.safetensors-Style-4,4
435,"00019-20-(low poly art style_1.3),dog,white background.png",-0.7081147112692153,dreamshaper_7.safetensors-Style-4,4
436,"00020-21-(low poly art style_1.3),dog,white background.png",-0.8550770554709632,dreamshaper_7.safetensors-Style-4,4
437,"00021-22-(low poly art style_1.3),dog,white background.png",-0.4794972140913541,dreamshaper_7.safetensors-Style-4,4
438,"00022-23-(low poly art style_1.3),dog,white background.png",-0.8840359460360305,dreamshaper_7.safetensors-Style-4,4
439,"00023-24-(low poly art style_1.3),dog,white background.png",-0.8008134072820366,dreamshaper_7.safetensors-Style-4,4
440,"00024-25-(low poly art style_1.3),dog,white background.png",-0.828725123795029,dreamshaper_7.safetensors-Style-4,4
441,"00025-26-(low poly art style_1.3),dog,white background.png",-0.6878617661705881,dreamshaper_7.safetensors-Style-4,4
442,"00026-27-(low poly art style_1.3),dog,white background.png",-0.8091474770165225,dreamshaper_7.safetensors-Style-4,4
443,"00027-28-(low poly art style_1.3),dog,white background.png",-0.8812965261587627,dreamshaper_7.safetensors-Style-4,4
444,"00028-29-(low poly art style_1.3),dog,white background.png",-0.8589121649665584,dreamshaper_7.safetensors-Style-4,4
445,"00029-30-(low poly art style_1.3),dog,white background.png",-0.4291066279797017,dreamshaper_7.safetensors-Style-4,4
446,"00030-31-(low poly art style_1.3),dog,white background.png",-0.8204833494971591,dreamshaper_7.safetensors-Style-4,4
447,"00031-32-(low poly art style_1.3),dog,white background.png",-0.7939294999600459,dreamshaper_7.safetensors-Style-4,4
704,"00000-1-(low poly art style_1.3),dog,white background.png",-0.05841615433183281,GhostMix-V2.0-fp16-NoVAE-Style-4,4
705,"00001-2-(low poly art style_1.3),dog,white background.png",1.1281932852001946,GhostMix-V2.0-fp16-NoVAE-Style-4,4
706,"00002-3-(low poly art style_1.3),dog,white background.png",-0.14689916513742388,GhostMix-V2.0-fp16-NoVAE-Style-4,4
707,"00003-4-(low poly art style_1.3),dog,white background.png",-0.7289925776060292,GhostMix-V2.0-fp16-NoVAE-Style-4,4
708,"00004-5-(low poly art style_1.3),dog,white background.png",-0.04626427528387353,GhostMix-V2.0-fp16-NoVAE-Style-4,4
709,"00005-6-(low poly art style_1.3),dog,white background.png",-0.048040280379381406,GhostMix-V2.0-fp16-NoVAE-Style-4,4
710,"00006-7-(low poly art style_1.3),dog,white background.png",-0.47920195983399144,GhostMix-V2.0-fp16-NoVAE-Style-4,4
711,"00007-8-(low poly art style_1.3),dog,white background.png",-0.6713627029585664,GhostMix-V2.0-fp16-NoVAE-Style-4,4
712,"00008-9-(low poly art style_1.3),dog,white background.png",-0.3475966523776363,GhostMix-V2.0-fp16-NoVAE-Style-4,4
713,"00009-10-(low poly art style_1.3),dog,white background.png",0.08759181907593415,GhostMix-V2.0-fp16-NoVAE-Style-4,4
714,"00010-11-(low poly art style_1.3),dog,white background.png",1.6357701088488834,GhostMix-V2.0-fp16-NoVAE-Style-4,4
715,"00011-12-(low poly art style_1.3),dog,white background.png",0.5387349214629068,GhostMix-V2.0-fp16-NoVAE-Style-4,4
716,"00012-13-(low poly art style_1.3),dog,white background.png",0.1786733270649843,GhostMix-V2.0-fp16-NoVAE-Style-4,4
717,"00013-14-(low poly art style_1.3),dog,white background.png",1.1265188622707256,GhostMix-V2.0-fp16-NoVAE-Style-4,4
718,"00014-15-(low poly art style_1.3),dog,white background.png",0.3212436915893523,GhostMix-V2.0-fp16-NoVAE-Style-4,4
719,"00015-16-(low poly art style_1.3),dog,white background.png",-0.6143732701224234,GhostMix-V2.0-fp16-NoVAE-Style-4,4
720,"00016-17-(low poly art style_1.3),dog,white background.png",0.29536153498879114,GhostMix-V2.0-fp16-NoVAE-Style-4,4
721,"00017-18-(low poly art style_1.3),dog,white background.png",-0.09374276881301523,GhostMix-V2.0-fp16-NoVAE-Style-4,4
722,"00018-19-(low poly art style_1.3),dog,white background.png",-0.39973941618409503,GhostMix-V2.0-fp16-NoVAE-Style-4,4
723,"00019-20-(low poly art style_1.3),dog,white background.png",0.2329741206823914,GhostMix-V2.0-fp16-NoVAE-Style-4,4
724,"00020-21-(low poly art style_1.3),dog,white background.png",-0.8127564823500149,GhostMix-V2.0-fp16-NoVAE-Style-4,4
725,"00021-22-(low poly art style_1.3),dog,white background.png",1.2408231506680876,GhostMix-V2.0-fp16-NoVAE-Style-4,4
726,"00022-23-(low poly art style_1.3),dog,white background.png",0.16283955466478808,GhostMix-V2.0-fp16-NoVAE-Style-4,4
727,"00023-24-(low poly art style_1.3),dog,white background.png",-0.6973109180491469,GhostMix-V2.0-fp16-NoVAE-Style-4,4
728,"00024-25-(low poly art style_1.3),dog,white background.png",-0.760503999320178,GhostMix-V2.0-fp16-NoVAE-Style-4,4
729,"00025-26-(low poly art style_1.3),dog,white background.png",-0.6498170588249784,GhostMix-V2.0-fp16-NoVAE-Style-4,4
730,"00026-27-(low poly art style_1.3),dog,white background.png",0.6997165815014625,GhostMix-V2.0-fp16-NoVAE-Style-4,4
731,"00027-28-(low poly art style_1.3),dog,white background.png",-0.05994270143412525,GhostMix-V2.0-fp16-NoVAE-Style-4,4
732,"00028-29-(low poly art style_1.3),dog,white background.png",-0.8086863483091791,GhostMix-V2.0-fp16-NoVAE-Style-4,4
733,"00029-30-(low poly art style_1.3),dog,white background.png",-0.14135315296188786,GhostMix-V2.0-fp16-NoVAE-Style-4,4
734,"00030-31-(low poly art style_1.3),dog,white background.png",0.2657644989781467,GhostMix-V2.0-fp16-NoVAE-Style-4,4
735,"00031-32-(low poly art style_1.3),dog,white background.png",-0.15264272433532397,GhostMix-V2.0-fp16-NoVAE-Style-4,4
992,"00000-1-(low poly art style_1.3),dog,white background.png",-0.8601128649182004,lyriel_v14.safetensors-Style-4,4
993,"00001-2-(low poly art style_1.3),dog,white background.png",-0.8496400655673342,lyriel_v14.safetensors-Style-4,4
994,"00002-3-(low poly art style_1.3),dog,white background.png",-0.6600758240814097,lyriel_v14.safetensors-Style-4,4
995,"00003-4-(low poly art style_1.3),dog,white background.png",-0.6924109203182683,lyriel_v14.safetensors-Style-4,4
996,"00004-5-(low poly art style_1.3),dog,white background.png",-0.766267403764436,lyriel_v14.safetensors-Style-4,4
997,"00005-6-(low poly art style_1.3),dog,white background.png",-0.7122767178103037,lyriel_v14.safetensors-Style-4,4
998,"00006-7-(low poly art style_1.3),dog,white background.png",-0.7422771129952908,lyriel_v14.safetensors-Style-4,4
999,"00007-8-(low poly art style_1.3),dog,white background.png",-0.7778683114014959,lyriel_v14.safetensors-Style-4,4
1000,"00008-9-(low poly art style_1.3),dog,white background.png",-0.8890983602653628,lyriel_v14.safetensors-Style-4,4
1001,"00009-10-(low poly art style_1.3),dog,white background.png",-0.9416038456142695,lyriel_v14.safetensors-Style-4,4
1002,"00010-11-(low poly art style_1.3),dog,white background.png",-0.7631645117815984,lyriel_v14.safetensors-Style-4,4
1003,"00011-12-(low poly art style_1.3),dog,white background.png",-0.6763059920980937,lyriel_v14.safetensors-Style-4,4
1004,"00012-13-(low poly art style_1.3),dog,white background.png",-0.7550956201679402,lyriel_v14.safetensors-Style-4,4
1005,"00013-14-(low poly art style_1.3),dog,white background.png",-0.6158402382984758,lyriel_v14.safetensors-Style-4,4
1006,"00014-15-(low poly art style_1.3),dog,white background.png",-0.8983689451354298,lyriel_v14.safetensors-Style-4,4
1007,"00015-16-(low poly art style_1.3),dog,white background.png",-0.5586534207641372,lyriel_v14.safetensors-Style-4,4
1008,"00016-17-(low poly art style_1.3),dog,white background.png",-0.6538012712588854,lyriel_v14.safetensors-Style-4,4
1009,"00017-18-(low poly art style_1.3),dog,white background.png",-0.673648757393482,lyriel_v14.safetensors-Style-4,4
1010,"00018-19-(low poly art style_1.3),dog,white background.png",-0.7907334085885787,lyriel_v14.safetensors-Style-4,4
1011,"00019-20-(low poly art style_1.3),dog,white background.png",-0.7426012818034045,lyriel_v14.safetensors-Style-4,4
1012,"00020-21-(low poly art style_1.3),dog,white background.png",-0.7944819918569525,lyriel_v14.safetensors-Style-4,4
1013,"00021-22-(low poly art style_1.3),dog,white background.png",-0.726125369889589,lyriel_v14.safetensors-Style-4,4
1014,"00022-23-(low poly art style_1.3),dog,white background.png",-0.8077138180574385,lyriel_v14.safetensors-Style-4,4
1015,"00023-24-(low poly art style_1.3),dog,white background.png",-0.6735253284794246,lyriel_v14.safetensors-Style-4,4
1016,"00024-25-(low poly art style_1.3),dog,white background.png",-0.6093725897098822,lyriel_v14.safetensors-Style-4,4
1017,"00025-26-(low poly art style_1.3),dog,white background.png",-0.5003300377055679,lyriel_v14.safetensors-Style-4,4
1018,"00026-27-(low poly art style_1.3),dog,white background.png",-0.7063123024353054,lyriel_v14.safetensors-Style-4,4
1019,"00027-28-(low poly art style_1.3),dog,white background.png",-0.7025707825020265,lyriel_v14.safetensors-Style-4,4
1020,"00028-29-(low poly art style_1.3),dog,white background.png",-0.5185887008477145,lyriel_v14.safetensors-Style-4,4
1021,"00029-30-(low poly art style_1.3),dog,white background.png",-0.7334407482511133,lyriel_v14.safetensors-Style-4,4
1022,"00030-31-(low poly art style_1.3),dog,white background.png",-0.5216451442913104,lyriel_v14.safetensors-Style-4,4
1023,"00031-32-(low poly art style_1.3),dog,white background.png",-0.5662626669261451,lyriel_v14.safetensors-Style-4,4
1280,"00000-1-(low poly art style_1.3),dog,white background.png",-0.0997797058604722,majicmixRealistic_v6.safetensors-Style-4,4
1281,"00001-2-(low poly art style_1.3),dog,white background.png",-0.0031141214232653334,majicmixRealistic_v6.safetensors-Style-4,4
1282,"00002-3-(low poly art style_1.3),dog,white background.png",0.20388161498946758,majicmixRealistic_v6.safetensors-Style-4,4
1283,"00003-4-(low poly art style_1.3),dog,white background.png",0.1381919433493521,majicmixRealistic_v6.safetensors-Style-4,4
1284,"00004-5-(low poly art style_1.3),dog,white background.png",-0.08731747491838156,majicmixRealistic_v6.safetensors-Style-4,4
1285,"00005-6-(low poly art style_1.3),dog,white background.png",0.20539871154895703,majicmixRealistic_v6.safetensors-Style-4,4
1286,"00006-7-(low poly art style_1.3),dog,white background.png",0.18963507510272473,majicmixRealistic_v6.safetensors-Style-4,4
1287,"00007-8-(low poly art style_1.3),dog,white background.png",-0.14130955477545445,majicmixRealistic_v6.safetensors-Style-4,4
1288,"00008-9-(low poly art style_1.3),dog,white background.png",-0.03913223387861915,majicmixRealistic_v6.safetensors-Style-4,4
1289,"00009-10-(low poly art style_1.3),dog,white background.png",-0.07363622224272114,majicmixRealistic_v6.safetensors-Style-4,4
1290,"00010-11-(low poly art style_1.3),dog,white background.png",1.963320799512299,majicmixRealistic_v6.safetensors-Style-4,4
1291,"00011-12-(low poly art style_1.3),dog,white background.png",-0.14316477108616793,majicmixRealistic_v6.safetensors-Style-4,4
1292,"00012-13-(low poly art style_1.3),dog,white background.png",0.40738177640974654,majicmixRealistic_v6.safetensors-Style-4,4
1293,"00013-14-(low poly art style_1.3),dog,white background.png",0.08941304857797218,majicmixRealistic_v6.safetensors-Style-4,4
1294,"00014-15-(low poly art style_1.3),dog,white background.png",-0.033739163831332325,majicmixRealistic_v6.safetensors-Style-4,4
1295,"00015-16-(low poly art style_1.3),dog,white background.png",0.7711902474384672,majicmixRealistic_v6.safetensors-Style-4,4
1296,"00016-17-(low poly art style_1.3),dog,white background.png",-0.423278925294651,majicmixRealistic_v6.safetensors-Style-4,4
1297,"00017-18-(low poly art style_1.3),dog,white background.png",-0.17931120898642253,majicmixRealistic_v6.safetensors-Style-4,4
1298,"00018-19-(low poly art style_1.3),dog,white background.png",-0.23210655764328308,majicmixRealistic_v6.safetensors-Style-4,4
1299,"00019-20-(low poly art style_1.3),dog,white background.png",0.02198709211931764,majicmixRealistic_v6.safetensors-Style-4,4
1300,"00020-21-(low poly art style_1.3),dog,white background.png",-0.2738917588547291,majicmixRealistic_v6.safetensors-Style-4,4
1301,"00021-22-(low poly art style_1.3),dog,white background.png",0.06622899960949981,majicmixRealistic_v6.safetensors-Style-4,4
1302,"00022-23-(low poly art style_1.3),dog,white background.png",0.06737364709020582,majicmixRealistic_v6.safetensors-Style-4,4
