,Unnamed: 0,count_LAIONScore,mean_LAIONScore,std_LAIONScore,min_LAIONScore,25%_LAIONScore,50%_LAIONScore,75%_LAIONScore,max_LAIONScore,skew_LAIONScore,kurtosis_LAIONScore,RatingScore_mean,RatingScore_std,Clipscore_mean,Clipscore_std,Artifact_mean,Artifact_std,name
28,LAIONScore,32.0,6.780807108,0.201213354,6.307155609,6.631317019,6.771195889,6.899395943,7.137760162,-0.160735925,-0.319092904,7.41075246,0.490420581,0.317596436,0.013209106,2.360784035,0.248121849,dreamshaper_7.safetensors-8
29,LAIONScore,32.0,6.993678838,0.280728823,6.305038452,6.735935807,7.083450794,7.222498298,7.46025753,-0.653780205,-0.375630923,6.924911246,0.75455405,0.309387207,0.021537023,2.102558751,0.309247921,dreamshaper_7.safetensors-9
30,LAIONScore,32.0,6.866638973,0.154705675,6.546506882,6.77215004,6.858494997,6.966810942,7.291954517,0.27168008,0.561673147,6.357045546,0.349374749,0.323112488,0.008754447,2.787599698,0.183431289,GhostMix-V2.0-fp16-NoVAE-0
31,LAIONScore,32.0,6.882197663,0.161557977,6.44024229,6.788704634,6.879457474,6.979766011,7.188211918,-0.613236194,0.450731622,6.484368503,0.477106749,0.354316711,0.012531282,2.621504717,0.20509866,GhostMix-V2.0-fp16-NoVAE-1
32,LAIONScore,32.0,6.677208707,0.10812617,6.420448303,6.597361565,6.679002285,6.753094316,6.894465446,-0.115928198,-0.385403416,6.636327952,0.27354656,0.305274963,0.008617174,2.970619269,0.20951137,GhostMix-V2.0-fp16-NoVAE-10
33,LAIONScore,32.0,6.327453956,0.125044162,6.101686478,6.187452316,6.370675325,6.426512718,6.514315605,-0.348679215,-1.314882053,5.348051235,0.46758634,0.24943924,0.012360292,3.039871268,0.246527864,GhostMix-V2.0-fp16-NoVAE-11
34,LAIONScore,32.0,6.651125789,0.173451585,6.292352676,6.552180529,6.645177603,6.783318043,6.935267925,-0.285672323,-0.676652077,8.093563959,0.695522005,0.252937317,0.018554059,1.064568163,0.43887359,GhostMix-V2.0-fp16-NoVAE-12
35,LAIONScore,32.0,6.923761353,0.21685835,6.196291924,6.834611893,6.948403835,7.011988401,7.322937965,-1.005905979,2.469043536,6.983619153,0.671620477,0.260353088,0.01427973,2.454442568,0.366760163,GhostMix-V2.0-fp16-NoVAE-13
36,LAIONScore,32.0,6.944396466,0.170712474,6.526954651,6.856322169,6.982271433,7.068587184,7.252089977,-0.63117275,0.041002376,7.7608044,0.729842111,0.278129578,0.013108887,2.09429767,0.359636035,GhostMix-V2.0-fp16-NoVAE-14
37,LAIONScore,32.0,6.921664834,0.121570942,6.666591167,6.82739234,6.898294926,7.017345428,7.165590286,0.050922931,-0.919137145,7.065328047,0.384007391,0.294830322,0.011139501,1.945420619,0.219749592,GhostMix-V2.0-fp16-NoVAE-15
38,LAIONScore,32.0,6.580621883,0.480616585,5.068939209,6.435818672,6.692193747,6.899501562,7.253987789,-1.45767241,2.127355566,6.575385392,1.101731685,0.292743683,0.01962729,2.422141507,0.367524292,GhostMix-V2.0-fp16-NoVAE-16
39,LAIONScore,32.0,7.319930986,0.146174669,6.961994648,7.265835047,7.301174402,7.396873474,7.682329655,-0.120521309,0.786794496,7.579835951,0.467179484,0.321098328,0.010313629,2.009467922,0.216860295,GhostMix-V2.0-fp16-NoVAE-17
40,LAIONScore,32.0,7.117017716,0.105848917,6.901082039,7.057163477,7.107744694,7.204379678,7.302690029,-0.238109551,-0.76295767,7.24625811,0.329892956,0.321014404,0.008812714,2.400582664,0.196977944,GhostMix-V2.0-fp16-NoVAE-18
41,LAIONScore,32.0,7.013360426,0.370776321,5.928874969,6.900595665,7.146384954,7.22147429,7.484297752,-1.420332121,1.472834616,5.988029629,0.90084199,0.260326385,0.025991588,2.560007349,0.328648667,GhostMix-V2.0-fp16-NoVAE-19
42,LAIONScore,32.0,7.101369917,0.139389129,6.865440845,7.018345475,7.060322046,7.180335999,7.431165695,0.71854864,-0.017613721,8.146491006,0.292667616,0.248352051,0.012060507,1.765496187,0.17407954,GhostMix-V2.0-fp16-NoVAE-2
43,LAIONScore,32.0,7.042758107,0.148676757,6.689702034,6.947669744,7.059440374,7.127742887,7.338421822,-0.251565598,0.197257623,7.969787359,0.455717719,0.242797852,0.013169741,1.690700453,0.250319421,GhostMix-V2.0-fp16-NoVAE-20
44,LAIONScore,32.0,7.112969175,0.141669801,6.828117371,7.026882768,7.086895943,7.210189462,7.384160042,0.122780516,-0.670654253,7.372096688,0.540126918,0.269721985,0.012913189,2.240510326,0.278387078,GhostMix-V2.0-fp16-NoVAE-21
45,LAIONScore,32.0,7.038806289,0.304682475,6.033750534,6.870118618,7.096752644,7.217797875,7.535937309,-0.971976659,1.943701439,8.405564114,0.720526699,0.299530029,0.047538179,1.336903955,0.487222211,GhostMix-V2.0-fp16-NoVAE-22
46,LAIONScore,32.0,6.512467012,0.295953695,6.011188507,6.294894338,6.533084869,6.679780006,7.224068165,0.395659372,-0.224537078,6.034820393,0.61622325,0.241512299,0.021462516,2.392897401,0.34237177,GhostMix-V2.0-fp16-NoVAE-23
