,StyleLoss,Image,TargetImage
63,10707818496.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (16).jpg
64,8149322752.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (17).jpg
65,26498736128.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (18).jpg
66,13879709696.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (19).jpg
67,14402308096.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (2).jpg
68,4349035008.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (20).jpg
69,17954064384.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (3).jpg
70,32212758528.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (4).jpg
71,4449634816.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (5).jpg
72,5050368512.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (6).jpg
73,99882991616.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (7).jpg
74,24859107328.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (8).jpg
75,26165639168.0,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (9).jpg
76,9271291904.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (1).jpg
77,10249046016.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (10).jpg
78,4413436928.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (11).jpg
79,5049238016.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (12).jpg
80,19035523072.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (14).jpg
81,14970481664.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (15).jpg
82,16505016320.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (16).jpg
83,11741905920.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (17).jpg
84,39313776640.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (18).jpg
85,19061336064.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (19).jpg
86,22134054912.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (2).jpg
87,4481628672.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (20).jpg
88,25667942400.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (3).jpg
89,45676036096.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (4).jpg
90,6723541504.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (5).jpg
91,9046540288.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (6).jpg
92,122754801664.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (7).jpg
93,32350193664.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (8).jpg
94,35772583936.0,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (9).jpg
95,7032625152.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (1).jpg
96,8169242112.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (10).jpg
97,3945274112.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (11).jpg
98,3986091520.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (12).jpg
99,16833384448.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (14).jpg
100,12734973952.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (15).jpg
101,14532331520.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (16).jpg
102,10010054656.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (17).jpg
103,34492018688.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (18).jpg
104,17570162688.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (19).jpg
105,18674157568.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (2).jpg
106,3065633792.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (20).jpg
107,21568411648.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (3).jpg
108,40262254592.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (4).jpg
109,4685177856.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (5).jpg
110,6657127424.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (6).jpg
111,114424078336.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (7).jpg
112,29978003456.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (8).jpg
113,32767827968.0,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (9).jpg
114,11606217728.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (1).jpg
115,12201575424.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (10).jpg
116,4247410432.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (11).jpg
117,5963219456.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (12).jpg
118,21922285568.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (14).jpg
119,20171059200.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (15).jpg
120,21208739840.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (16).jpg
121,13263660032.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (17).jpg
122,47395311616.0,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",Line Art (18).jpg
