,StyleLoss,Image,TargetImage
0,5081543168.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (1).jpg
1,4516194304.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (10).jpg
2,3330611200.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (11).jpg
3,5567348736.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (12).jpg
4,3099412992.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (13).jpg
5,935733632.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (14).jpg
6,4335312896.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (15).jpg
7,1291388160.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (16).jpg
8,1197236096.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (17).jpg
9,1637235456.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (2).jpg
10,678136192.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (3).jpg
11,2588269312.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (4).jpg
12,3956512512.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (5).jpg
13,3130244352.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (6).jpg
14,1106650624.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (7).jpg
15,1662597376.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (8).jpg
16,1059568000.0,"00000-1-(low poly art style_1.3),dog,white background.png",Low Poly (9).jpg
17,5370612736.0,"00001-2-(low poly art style_1.3),dog,white background.png",Low Poly (1).jpg
18,4302907904.0,"00001-2-(low poly art style_1.3),dog,white background.png",Low Poly (10).jpg
19,3152239360.0,"00001-2-(low poly art style_1.3),dog,white background.png",Low Poly (11).jpg
20,7083682816.0,"00001-2-(low poly art style_1.3),dog,white background.png",Low Poly (12).jpg
21,4338607104.0,"00001-2-(low poly art style_1.3),dog,white background.png",Low Poly (13).jpg
22,1577652224.0,"00001-2-(low poly art style_1.3),dog,white background.png",Low Poly (14).jpg
23,5748942848.0,"00001-2-(low poly art style_1.3),dog,white background.png",Low Poly (15).jpg
24,1314239616.0,"00001-2-(low poly art style_1.3),dog,white background.png",Low Poly (16).jpg
