,StyleLoss,Image,TargetImage
54,5616490496.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (32).jpg
55,5367816192.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (33).jpg
56,3530580480.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (34).jpg
57,15779486720.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (35).jpg
58,18867906560.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (36).jpg
59,18444607488.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (37).jpg
60,4429996544.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (38).jpg
61,9364878336.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (39).jpg
62,6445873664.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (40).jpg
63,3786654208.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (41).jpg
64,23730247680.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (42).jpg
65,24667443200.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (43).jpg
66,21937086464.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (44).jpg
67,24479995904.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (5).jpg
68,25309577216.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (6).jpg
69,46469652480.0,"00001-2-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (9).jpg
70,6039985664.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (1).jpg
71,10979831808.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (10).jpg
72,48120782848.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (11).jpg
73,6448922624.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (12).jpg
74,8428560896.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (14).jpg
75,15983529984.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (15).jpg
76,41802936320.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (2).jpg
77,4328937984.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (20).jpg
78,17503186944.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (21).jpg
79,24404099072.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (22).jpg
80,7555025408.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (23).jpg
81,5376357888.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (24).jpg
82,4341858816.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (25).jpg
83,4084817152.0,"00002-3-(pixel art style_1.3),1girl,white background,portrait,.png",pixel art (26).jpg
