,StyleLoss,ImageIndex
0,9617333248.0,"00000-1-closeup, a family portrait, momn, dad, kitchen in the background.png"
1,10728907776.0,"00001-2-closeup, a family portrait, momn, dad, kitchen in the background.png"
2,12924928000.0,"00002-3-closeup, a family portrait, momn, dad, kitchen in the background.png"
3,14208901120.0,"00003-4-closeup, a family portrait, momn, dad, kitchen in the background.png"
4,13011993600.0,"00004-5-closeup, a family portrait, momn, dad, kitchen in the background.png"
5,11807931392.0,"00005-6-closeup, a family portrait, momn, dad, kitchen in the background.png"
6,9382230016.0,"00006-7-closeup, a family portrait, momn, dad, kitchen in the background.png"
7,11614333952.0,"00007-8-closeup, a family portrait, momn, dad, kitchen in the background.png"
8,10350109696.0,"00008-9-closeup, a family portrait, momn, dad, kitchen in the background.png"
9,9514499072.0,"00009-10-closeup, a family portrait, momn, dad, kitchen in the background.png"
10,10348461056.0,"00010-11-closeup, a family portrait, momn, dad, kitchen in the background.png"
11,10595016704.0,"00011-12-closeup, a family portrait, momn, dad, kitchen in the background.png"
12,11319766016.0,"00012-13-closeup, a family portrait, momn, dad, kitchen in the background.png"
13,11045035008.0,"00013-14-closeup, a family portrait, momn, dad, kitchen in the background.png"
14,11570799616.0,"00014-15-closeup, a family portrait, momn, dad, kitchen in the background.png"
15,12330095616.0,"00015-16-closeup, a family portrait, momn, dad, kitchen in the background.png"
16,12305543168.0,"00016-17-closeup, a family portrait, momn, dad, kitchen in the background.png"
17,10747544576.0,"00017-18-closeup, a family portrait, momn, dad, kitchen in the background.png"
18,10207489024.0,"00018-19-closeup, a family portrait, momn, dad, kitchen in the background.png"
19,11041473536.0,"00019-20-closeup, a family portrait, momn, dad, kitchen in the background.png"
