,StyleLoss,ImageIndex
0,514542976.0,"00000-1-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
1,1050664960.0,"00001-2-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
2,934248448.0,"00002-3-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
3,1021656704.0,"00003-4-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
4,857858752.0,"00004-5-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
5,1025843648.0,"00005-6-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
6,643583808.0,"00006-7-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
7,999865472.0,"00007-8-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
8,1215767808.0,"00008-9-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
9,693136384.0,"00009-10-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
10,654955392.0,"00010-11-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
11,871822976.0,"00011-12-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
12,1133422080.0,"00012-13-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
13,1070025792.0,"00013-14-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
14,1279445504.0,"00014-15-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
15,951588608.0,"00015-16-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
16,898195648.0,"00016-17-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
17,1203126016.0,"00017-18-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
18,908879680.0,"00018-19-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
19,952246400.0,"00019-20-, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelr.png"
